MONTH,YEAR,HOMICIDE,RAPE,ROBBERY,ASSAULT,HUMAN TRAFFICKING - SEX ACT,HUMAN TRAFFICKING - INV SERV,BURGLARY,MOTOR VEHICLE THEFT,ARSON,LARCENY THEFT,TOTAL
1,2017,6,49,248,241,0,1,443,424,19,3732,5163
2,2017,4,35,265,170,1,0,447,445,12,3536,4915
3,2017,5,27,271,218,1,0,501,506,25,3807,5361
4,2017,3,36,298,206,7,0,408,484,24,3661,5127
5,2017,9,46,265,188,3,0,429,412,23,3994,5369
6,2017,7,33,264,241,1,0,374,402,21,3915,5258
7,2017,7,31,276,247,2,0,352,443,35,4076,5469
8,2017,4,47,279,263,6,1,368,405,20,3716,5109
9,2017,5,37,275,242,7,0,440,358,15,3696,5075
10,2017,3,42,295,243,5,0,444,489,27,4387,5935
11,2017,3,38,238,227,3,0,426,263,14,4152,5364
12,2017,0,31,282,207,4,0,489,326,22,4061,5422
1,2018,5,31,254,212,3,0,463,342,20,3958,5288
2,2018,3,27,263,223,3,0,425,299,17,3076,4336
3,2018,2,48,259,227,8,0,472,320,20,3256,4612
4,2018,4,44,223,222,4,0,458,320,20,3294,4589
5,2018,1,43,264,228,14,0,522,370,13,3424,4879
6,2018,7,43,291,257,23,1,469,405,25,3446,4967
7,2018,5,34,310,230,4,0,518,399,16,4105,5621
8,2018,5,35,267,225,8,0,568,373,23,3995,5499
9,2018,5,39,269,203,32,0,496,374,15,3568,5001
10,2018,3,43,266,212,4,0,466,408,31,3665,5098
11,2018,1,37,255,194,5,0,414,378,31,3289,4604
12,2018,5,28,309,206,1,1,423,380,18,3572,4943
1,2019,4,41,249,165,4,0,420,338,18,3173,4412
2,2019,1,39,192,141,3,0,386,343,9,2924,4038
3,2019,4,28,230,226,3,0,433,345,17,3069,4355
4,2019,3,27,229,194,1,0,409,361,19,2972,4215
5,2019,5,35,232,251,6,1,438,358,20,3214,4560
6,2019,3,42,251,220,1,0,359,389,16,3445,4726
7,2019,3,42,232,239,1,0,440,356,18,3879,5210
8,2019,3,24,307,255,4,0,451,365,23,4085,5517
9,2019,3,37,270,223,4,0,392,411,24,3792,5156
10,2019,4,29,334,217,4,0,407,364,23,4208,5590
11,2019,1,28,324,211,12,0,403,411,25,3483,4898
12,2019,7,34,252,208,8,0,426,408,15,3822,5180
1,2020,3,24,272,177,5,0,503,413,19,3672,5088
2,2020,1,23,290,195,1,0,416,399,16,3081,4422
3,2020,6,21,229,178,0,0,443,422,28,2193,3520
4,2020,5,13,154,150,4,0,632,440,31,1578,3007
5,2020,3,19,147,169,1,0,862,507,22,1754,3484
6,2020,4,16,183,186,4,0,670,557,31,1762,3413
7,2020,5,17,182,178,3,0,751,648,27,1876,3687
8,2020,5,16,179,162,2,0,637,545,40,2040,3626
9,2020,5,20,156,199,1,0,599,441,23,1732,3176
10,2020,5,26,178,229,1,0,641,536,23,1902,3541
11,2020,3,25,204,179,3,0,649,590,25,2120,3798
12,2020,3,10,240,188,0,0,789,603,34,2035,3902
1,2021,3,16,198,194,6,0,834,561,34,1992,3838
2,2021,4,15,212,154,4,0,685,465,33,1755,3327
3,2021,2,13,181,164,3,0,595,460,28,1966,3412
4,2021,3,29,166,182,3,0,553,454,25,2081,3496
5,2021,6,13,190,207,1,0,587,512,23,2868,4407
6,2021,8,25,194,208,2,1,576,458,32,2880,4384
7,2021,4,17,164,212,3,1,637,494,25,2820,4377
8,2021,5,24,213,221,1,0,609,519,36,2437,4065
9,2021,7,18,177,244,5,1,558,464,23,3043,4540
10,2021,2,23,202,209,3,0,552,596,29,3472,5088
11,2021,8,18,177,213,0,0,587,525,20,3532,5080
12,2021,4,18,183,187,1,0,567,573,10,3172,4715
1,2022,3,19,178,189,2,0,548,554,31,2770,4294
2,2022,3,28,188,177,1,0,408,589,19,2584,3997
3,2022,3,18,201,192,3,0,545,491,26,3087,4566
4,2022,6,24,187,222,2,0,485,455,18,2766,4165
5,2022,1,19,169,240,2,0,516,467,26,2657,4097
6,2022,8,25,240,244,2,0,479,502,25,3069,4594
7,2022,3,19,212,256,1,0,514,499,25,3033,4562
8,2022,6,25,200,213,0,1,533,522,29,3015,4544
9,2022,7,22,227,274,1,0,530,590,29,3406,5086
10,2022,3,17,231,212,1,0,487,587,23,3466,5027
11,2022,8,19,191,187,1,0,444,549,23,3299,4721
12,2022,5,20,164,197,1,0,548,517,19,3356,4827
1,2023,5,15,200,191,2,0,501,495,27,2736,4172
2,2023,3,22,234,178,1,0,444,500,31,2535,3948
3,2023,3,19,224,217,1,0,454,548,24,2823,4313
4,2023,6,16,189,202,1,0,444,577,20,2378,3833
5,2023,3,11,220,183,0,0,354,543,20,1746,3080